GEO_ID,NAME,FIPS,Cty_Name,St_Name,FlashFloodCount
0500000US48413,"Schleicher County, Texas",48413,Schleicher County,Texas,0
0500000US48415,"Scurry County, Texas",48415,Scurry County,Texas,1
0500000US48417,"Shackelford County, Texas",48417,Shackelford County,Texas,0
0500000US48419,"Shelby County, Texas",48419,Shelby County,Texas,0
0500000US48421,"Sherman County, Texas",48421,Sherman County,Texas,0
0500000US48423,"Smith County, Texas",48423,Smith County,Texas,12
0500000US48425,"Somervell County, Texas",48425,Somervell County,Texas,0
0500000US48427,"Starr County, Texas",48427,Starr County,Texas,2
0500000US48429,"Stephens County, Texas",48429,Stephens County,Texas,0
0500000US48431,"Sterling County, Texas",48431,Sterling County,Texas,0
0500000US48433,"Stonewall County, Texas",48433,Stonewall County,Texas,1
0500000US48435,"Sutton County, Texas",48435,Sutton County,Texas,0
0500000US48437,"Swisher County, Texas",48437,Swisher County,Texas,1
0500000US48439,"Tarrant County, Texas",48439,Tarrant County,Texas,11
0500000US48441,"Taylor County, Texas",48441,Taylor County,Texas,2
0500000US48443,"Terrell County, Texas",48443,Terrell County,Texas,2
0500000US48445,"Terry County, Texas",48445,Terry County,Texas,0
0500000US48447,"Throckmorton County, Texas",48447,Throckmorton County,Texas,1
0500000US48449,"Titus County, Texas",48449,Titus County,Texas,0
0500000US48451,"Tom Green County, Texas",48451,Tom Green County,Texas,2
0500000US48453,"Travis County, Texas",48453,Travis County,Texas,5
0500000US48455,"Trinity County, Texas",48455,Trinity County,Texas,0
0500000US48457,"Tyler County, Texas",48457,Tyler County,Texas,1
0500000US48459,"Upshur County, Texas",48459,Upshur County,Texas,2
0500000US48461,"Upton County, Texas",48461,Upton County,Texas,1
0500000US48463,"Uvalde County, Texas",48463,Uvalde County,Texas,2
0500000US48465,"Val Verde County, Texas",48465,Val Verde County,Texas,0
0500000US48467,"Van Zandt County, Texas",48467,Van Zandt County,Texas,0
0500000US48469,"Victoria County, Texas",48469,Victoria County,Texas,0
0500000US48471,"Walker County, Texas",48471,Walker County,Texas,0
0500000US48473,"Waller County, Texas",48473,Waller County,Texas,0
0500000US48475,"Ward County, Texas",48475,Ward County,Texas,0
0500000US48477,"Washington County, Texas",48477,Washington County,Texas,0
0500000US48479,"Webb County, Texas",48479,Webb County,Texas,0
0500000US48481,"Wharton County, Texas",48481,Wharton County,Texas,0
0500000US48483,"Wheeler County, Texas",48483,Wheeler County,Texas,0
0500000US48485,"Wichita County, Texas",48485,Wichita County,Texas,0
0500000US48487,"Wilbarger County, Texas",48487,Wilbarger County,Texas,0
0500000US48489,"Willacy County, Texas",48489,Willacy County,Texas,1
0500000US48491,"Williamson County, Texas",48491,Williamson County,Texas,2
0500000US48493,"Wilson County, Texas",48493,Wilson County,Texas,0
0500000US48495,"Winkler County, Texas",48495,Winkler County,Texas,0
0500000US48497,"Wise County, Texas",48497,Wise County,Texas,4
0500000US48499,"Wood County, Texas",48499,Wood County,Texas,0
0500000US48501,"Yoakum County, Texas",48501,Yoakum County,Texas,0
0500000US48503,"Young County, Texas",48503,Young County,Texas,1
0500000US48505,"Zapata County, Texas",48505,Zapata County,Texas,0
0500000US48507,"Zavala County, Texas",48507,Zavala County,Texas,0
0500000US49001,"Beaver County, Utah",49001,Beaver County,Utah,0
0500000US49003,"Box Elder County, Utah",49003,Box Elder County,Utah,0
0500000US49005,"Cache County, Utah",49005,Cache County,Utah,0
0500000US49007,"Carbon County, Utah",49007,Carbon County,Utah,0
0500000US49009,"Daggett County, Utah",49009,Daggett County,Utah,0
0500000US49011,"Davis County, Utah",49011,Davis County,Utah,0
0500000US49013,"Duchesne County, Utah",49013,Duchesne County,Utah,0
0500000US49015,"Emery County, Utah",49015,Emery County,Utah,0
0500000US49017,"Garfield County, Utah",49017,Garfield County,Utah,0
0500000US49019,"Grand County, Utah",49019,Grand County,Utah,0
0500000US49021,"Iron County, Utah",49021,Iron County,Utah,0
0500000US49023,"Juab County, Utah",49023,Juab County,Utah,0
0500000US49025,"Kane County, Utah",49025,Kane County,Utah,0
0500000US49027,"Millard County, Utah",49027,Millard County,Utah,0
0500000US49029,"Morgan County, Utah",49029,Morgan County,Utah,0
0500000US49031,"Piute County, Utah",49031,Piute County,Utah,0
0500000US49033,"Rich County, Utah",49033,Rich County,Utah,0
0500000US49035,"Salt Lake County, Utah",49035,Salt Lake County,Utah,0
0500000US49037,"San Juan County, Utah",49037,San Juan County,Utah,0
0500000US49039,"Sanpete County, Utah",49039,Sanpete County,Utah,0
0500000US49041,"Sevier County, Utah",49041,Sevier County,Utah,0
0500000US49043,"Summit County, Utah",49043,Summit County,Utah,0
0500000US49045,"Tooele County, Utah",49045,Tooele County,Utah,0
0500000US49047,"Uintah County, Utah",49047,Uintah County,Utah,0
0500000US49049,"Utah County, Utah",49049,Utah County,Utah,0
0500000US49051,"Wasatch County, Utah",49051,Wasatch County,Utah,0
0500000US49053,"Washington County, Utah",49053,Washington County,Utah,1
0500000US49055,"Wayne County, Utah",49055,Wayne County,Utah,0
0500000US49057,"Weber County, Utah",49057,Weber County,Utah,0
0500000US50001,"Addison County, Vermont",50001,Addison County,Vermont,1
0500000US50003,"Bennington County, Vermont",50003,Bennington County,Vermont,0
0500000US50005,"Caledonia County, Vermont",50005,Caledonia County,Vermont,0
0500000US50007,"Chittenden County, Vermont",50007,Chittenden County,Vermont,1
0500000US50009,"Essex County, Vermont",50009,Essex County,Vermont,0
0500000US50011,"Franklin County, Vermont",50011,Franklin County,Vermont,0
0500000US50013,"Grand Isle County, Vermont",50013,Grand Isle County,Vermont,0
0500000US50015,"Lamoille County, Vermont",50015,Lamoille County,Vermont,1
0500000US50017,"Orange County, Vermont",50017,Orange County,Vermont,0
0500000US50019,"Orleans County, Vermont",50019,Orleans County,Vermont,0
0500000US50021,"Rutland County, Vermont",50021,Rutland County,Vermont,0
0500000US50023,"Washington County, Vermont",50023,Washington County,Vermont,2
0500000US50025,"Windham County, Vermont",50025,Windham County,Vermont,0
0500000US50027,"Windsor County, Vermont",50027,Windsor County,Vermont,1
0500000US51001,"Accomack County, Virginia",51001,Accomack County,Virginia,0
0500000US51003,"Albemarle County, Virginia",51003,Albemarle County,Virginia,4
0500000US51005,"Alleghany County, Virginia",51005,Alleghany County,Virginia,0
0500000US51007,"Amelia County, Virginia",51007,Amelia County,Virginia,1
0500000US51009,"Amherst County, Virginia",51009,Amherst County,Virginia,0
0500000US51011,"Appomattox County, Virginia",51011,Appomattox County,Virginia,1
0500000US51013,"Arlington County, Virginia",51013,Arlington County,Virginia,0
0500000US51015,"Augusta County, Virginia",51015,Augusta County,Virginia,0
0500000US51017,"Bath County, Virginia",51017,Bath County,Virginia,0
0500000US51019,"Bedford County, Virginia",51019,Bedford County,Virginia,2
0500000US51021,"Bland County, Virginia",51021,Bland County,Virginia,1
0500000US51023,"Botetourt County, Virginia",51023,Botetourt County,Virginia,0
0500000US51025,"Brunswick County, Virginia",51025,Brunswick County,Virginia,0
0500000US51027,"Buchanan County, Virginia",51027,Buchanan County,Virginia,4
0500000US51029,"Buckingham County, Virginia",51029,Buckingham County,Virginia,0
0500000US51031,"Campbell County, Virginia",51031,Campbell County,Virginia,2
0500000US51033,"Caroline County, Virginia",51033,Caroline County,Virginia,0
0500000US51035,"Carroll County, Virginia",51035,Carroll County,Virginia,0
0500000US51036,"Charles City County, Virginia",51036,Charles City County,Virginia,0
0500000US51037,"Charlotte County, Virginia",51037,Charlotte County,Virginia,0
0500000US51041,"Chesterfield County, Virginia",51041,Chesterfield County,Virginia,0
0500000US51043,"Clarke County, Virginia",51043,Clarke County,Virginia,0
0500000US51045,"Craig County, Virginia",51045,Craig County,Virginia,2
0500000US51047,"Culpeper County, Virginia",51047,Culpeper County,Virginia,0
0500000US51049,"Cumberland County, Virginia",51049,Cumberland County,Virginia,0
0500000US51051,"Dickenson County, Virginia",51051,Dickenson County,Virginia,1
0500000US51053,"Dinwiddie County, Virginia",51053,Dinwiddie County,Virginia,3
0500000US51057,"Essex County, Virginia",51057,Essex County,Virginia,2
0500000US51059,"Fairfax County, Virginia",51059,Fairfax County,Virginia,0
0500000US51061,"Fauquier County, Virginia",51061,Fauquier County,Virginia,0
0500000US51063,"Floyd County, Virginia",51063,Floyd County,Virginia,0
0500000US51065,"Fluvanna County, Virginia",51065,Fluvanna County,Virginia,2
0500000US51067,"Franklin County, Virginia",51067,Franklin County,Virginia,0
0500000US51069,"Frederick County, Virginia",51069,Frederick County,Virginia,0
0500000US51071,"Giles County, Virginia",51071,Giles County,Virginia,1
0500000US51073,"Gloucester County, Virginia",51073,Gloucester County,Virginia,0
0500000US51075,"Goochland County, Virginia",51075,Goochland County,Virginia,0
0500000US51077,"Grayson County, Virginia",51077,Grayson County,Virginia,0
0500000US51079,"Greene County, Virginia",51079,Greene County,Virginia,5
0500000US51081,"Greensville County, Virginia",51081,Greensville County,Virginia,0
0500000US51083,"Halifax County, Virginia",51083,Halifax County,Virginia,0
0500000US51085,"Hanover County, Virginia",51085,Hanover County,Virginia,0
0500000US51087,"Henrico County, Virginia",51087,Henrico County,Virginia,2
0500000US51089,"Henry County, Virginia",51089,Henry County,Virginia,0
0500000US51091,"Highland County, Virginia",51091,Highland County,Virginia,0
0500000US51093,"Isle of Wight County, Virginia",51093,Isle of Wight County,Virginia,2
0500000US51095,"James City County, Virginia",51095,James City County,Virginia,0
0500000US51097,"King and Queen County, Virginia",51097,King and Queen County,Virginia,1
0500000US51099,"King George County, Virginia",51099,King George County,Virginia,0
0500000US51101,"King William County, Virginia",51101,King William County,Virginia,1
0500000US51103,"Lancaster County, Virginia",51103,Lancaster County,Virginia,2
0500000US51105,"Lee County, Virginia",51105,Lee County,Virginia,1
0500000US51107,"Loudoun County, Virginia",51107,Loudoun County,Virginia,1
0500000US51109,"Louisa County, Virginia",51109,Louisa County,Virginia,0
0500000US51111,"Lunenburg County, Virginia",51111,Lunenburg County,Virginia,0
0500000US51113,"Madison County, Virginia",51113,Madison County,Virginia,5
0500000US51115,"Mathews County, Virginia",51115,Mathews County,Virginia,0
0500000US51117,"Mecklenburg County, Virginia",51117,Mecklenburg County,Virginia,0
0500000US51119,"Middlesex County, Virginia",51119,Middlesex County,Virginia,0
0500000US51121,"Montgomery County, Virginia",51121,Montgomery County,Virginia,5
0500000US51125,"Nelson County, Virginia",51125,Nelson County,Virginia,2
0500000US51127,"New Kent County, Virginia",51127,New Kent County,Virginia,1
0500000US51131,"Northampton County, Virginia",51131,Northampton County,Virginia,0
0500000US51133,"Northumberland County, Virginia",51133,Northumberland County,Virginia,0
0500000US51135,"Nottoway County, Virginia",51135,Nottoway County,Virginia,0
0500000US51137,"Orange County, Virginia",51137,Orange County,Virginia,1
0500000US51139,"Page County, Virginia",51139,Page County,Virginia,0
0500000US51141,"Patrick County, Virginia",51141,Patrick County,Virginia,0
0500000US51143,"Pittsylvania County, Virginia",51143,Pittsylvania County,Virginia,0
0500000US51145,"Powhatan County, Virginia",51145,Powhatan County,Virginia,0
0500000US51147,"Prince Edward County, Virginia",51147,Prince Edward County,Virginia,1
0500000US51149,"Prince George County, Virginia",51149,Prince George County,Virginia,5
0500000US51153,"Prince William County, Virginia",51153,Prince William County,Virginia,0
0500000US51155,"Pulaski County, Virginia",51155,Pulaski County,Virginia,1
0500000US51157,"Rappahannock County, Virginia",51157,Rappahannock County,Virginia,0
0500000US51159,"Richmond County, Virginia",51159,Richmond County,Virginia,0
0500000US51161,"Roanoke County, Virginia",51161,Roanoke County,Virginia,1
0500000US51163,"Rockbridge County, Virginia",51163,Rockbridge County,Virginia,0
